train_loss	val_loss	acc	acc_loss
1.4953455041313672	1.3184125374655091	0.34653812446790655	0.4623567921440262
1.2445534201278485	1.1501073969951823	0.4844872918544789	0.5229132570045865
1.0981452285982245	1.0612084262694939	0.5567046450899945	0.5474631751715259
0.992568610395704	0.9832191026347359	0.6092900964275564	0.5941080196399345
0.8985872584408987	0.9137236063296978	0.6653812445641399	0.6309328968903437
0.8177842948647782	0.8676995077031724	0.7034180543487475	0.6448445172824954
0.7385752388304728	0.8466632815897952	0.7377738825800542	0.6833060555489285
0.6701864678122097	0.7835156021063535	0.7735319894829097	0.6906710311941157
0.6016980395622153	0.7557493751646064	0.7998247151934819	0.6980360064490923
0.5470300598378561	0.7327303360117242	0.816126205093708	0.7291325694605488
0.4988949764725621	0.6981674201067067	0.8368098159822637	0.7487725039941004
0.450972853095567	0.6892447156035959	0.8552147239472759	0.7373158755161954
0.4092856928196839	0.6445648432168165	0.8694127958140595	0.7716857611450157
0.37586160439550614	0.6240419262803713	0.8815074496474002	0.7798690671031097
0.33817879135518825	0.595790284159921	0.9002629272776879	0.793780687446485
0.3035400923357837	0.598270701259716	0.9111305872146547	0.7864157118500742
0.26945951062790874	0.5943689233762153	0.9230499561787905	0.7880523731587561
0.25151724999249764	0.5832971964647259	0.9279579316598088	0.8011456629453431
0.22587282763145974	0.5535421057340556	0.9372480280664697	0.8150572831911659
0.2012820208835351	0.6198757035983955	0.9447852760840674	0.79050736497545
